tsp61.txt;119;132

Time [us] = ;20
Time [ms] = ;0.02

tsp62.txt;119;80

Time [us] = ;20.5
Time [ms] = ;0.0205

tsp10.txt;362879;212

Time [us] = ;6.83e+04
Time [ms] = ;68.3

tsp12.txt;39916799;264

Time [us] = ;7.14e+06
Time [ms] = ;7.14e+03

